行业名称,样本量,公司数,ROA_中位数,ROA_均值,ROA_负值占比,ROE_中位数,ROE_均值,ROE_负值占比,营业净利率_中位数,营业净利率_均值,营业净利率_负值占比
未披露/缺失,146,73,0.017902500000000002,-0.0091798904109589,0.3493150684931507,0.028138999999999997,-0.025494902777777776,0.3402777777777778,0.028406,-0.07638404794520548,0.3493150684931507
互联网和相关服务,62,21,0.0375,0.03896491228070176,0.14035087719298245,0.066461,0.06164571929824562,0.14035087719298245,0.0930915,0.08312587096774195,0.12903225806451613
软件和信息技术服务业,43,15,0.0329455,0.04152794444444444,0.16666666666666666,0.034704,0.06108266666666665,0.16666666666666666,0.089881,0.09048846511627907,0.13953488372093023
商务服务业,23,8,0.023354,-0.018145826086956526,0.30434782608695654,0.041869,-0.03668852380952381,0.2857142857142857,0.013033,0.017827782608695646,0.30434782608695654
计算机、通信和其他电子设备制造业,19,7,0.05498,0.04959694117647059,0.11764705882352941,0.070857,0.05301126666666667,0.06666666666666667,0.121521,0.13698815789473684,0.10526315789473684
广播、电视、电影和影视录音制作业,18,6,-0.0672475,-0.083921,0.625,-0.19096649999999998,-0.2070709375,0.625,-0.21384950000000003,-0.8667328333333334,0.5555555555555556
仪器仪表制造业,12,4,0.100626,0.07796080000000001,0.1,0.1370685,0.10335450000000002,0.1,0.1823615,0.1744895,0.08333333333333333
专用设备制造业,12,4,0.075479,0.06963777777777778,0.0,0.084305,0.0913931111111111,0.0,0.204938,0.19067300000000006,0.0
新闻和出版业,9,3,0.046319,0.026342749999999998,0.125,0.06874250000000001,0.03306875,0.125,0.088211,0.05186577777777778,0.1111111111111111
专业技术服务业,6,2,0.112968,0.1095696,0.0,0.134458,0.1450682,0.0,0.172295,0.1409755,0.0
零售业,3,1,0.055322,0.03777933333333333,0.0,0.160871,0.12160366666666667,0.0,0.035045,0.034604333333333334,0.0
电信、广播电视和卫星传输服务,3,1,0.079499,0.05610600000000001,0.0,0.114815,0.08267233333333333,0.0,0.076545,0.05746933333333334,0.0
文化艺术业,3,1,0.034896,0.033003333333333336,0.0,0.04559,0.04123966666666667,0.0,0.235392,0.20926333333333336,0.0
纺织服装、服饰业,3,1,-0.037981,-0.048144,0.6666666666666666,-0.048511,-0.06520866666666666,0.6666666666666666,-0.067325,-0.10064766666666665,0.6666666666666666
电气机械及器材制造业,3,1,-0.036479,-0.014371333333333333,0.6666666666666666,-0.072219,-0.02666866666666667,0.6666666666666666,-0.092547,-0.05887266666666666,0.6666666666666666
