样本公司名称,样本ts_code,ROE_负值年占比,ROA_负值年占比,营业净利率_负值年占比,ROE_均值,营业净利率_均值
博纳影业,001330.SZ,1.0,1.0,0.6,-0.08354500000000002,-0.1501692
文投控股,600715.SH,1.0,1.0,1.0,-0.6464393333333334,-2.8611082
欢瑞世纪,000892.SZ,0.8,0.8,0.8,-0.22267520000000002,-1.3925813999999999
遥望科技,002291.SZ,0.8,0.8,0.8,-0.1341704,-0.14718039999999996
思美传媒,002712.SZ,0.8,0.8,0.8,-0.14970540000000002,-0.0803378
福石控股,300071.SZ,0.6666666666666666,0.6,0.6,-0.206232,-0.0980678
梦网科技,002123.SZ,0.6,0.6,0.6,-0.1849032,-0.1115
游族网络,002174.SZ,0.6,0.6,0.6,-0.0405706,-0.1038126
天娱数科,002354.SZ,0.6,0.6,0.6,-0.12254379999999998,-0.12444580000000002
凯撒文化,002425.SZ,0.6,0.6,0.6,-0.0994002,-0.8347735999999999
赛摩智能,300466.SZ,0.6,0.6,0.6,-0.0357818,-0.045808800000000004
宣亚国际,300612.SZ,0.6,0.6,0.6,-0.05382960000000001,-0.023638399999999997
引力传媒,603598.SH,0.6,0.6,0.6,-0.1327378,-0.0070622
华体科技,603679.SH,0.6,0.6,0.6,-0.020402,-0.0572698
ST华扬,603825.SH,0.6,0.6,0.6,-0.3951098,-0.0927742
罗普特,688619.SH,0.6,0.6,0.6,-0.038841200000000006,-0.4192188
